PWM,TempAmbiente,TempServo,Angle,Corrente,Tempo(mm:ss)
1339,28.61,33.63,33,0.70,00:37
1314,28.11,34.38,31,0.22,00:37
1289,28.61,34.13,28,0.54,00:38
1264,28.36,34.13,26,0.38,00:38
1239,28.36,34.13,23,0.04,00:38
1214,28.86,35.88,21,0.22,00:38
1189,28.61,33.88,18,0.30,00:39
1164,28.61,35.13,16,0.20,00:39
1140,28.36,34.38,14,0.25,00:39
1115,28.36,35.13,11,0.22,00:39
1090,28.61,33.63,9,0.25,00:40
1065,28.36,34.88,6,0.28,00:40
1040,28.61,33.63,4,0.38,00:40
1015,28.11,33.63,1,0.36,00:40
1010,28.36,34.88,1,0.38,00:41
1035,28.36,35.38,3,0.70,00:41
1060,28.36,33.63,6,2.05,00:41
1085,28.11,34.38,8,1.57,00:41
1110,28.36,33.88,11,0.49,00:42
1134,28.36,34.38,13,0.89,00:42
1159,28.36,33.88,15,0.54,00:42
1184,28.36,33.38,18,1.47,00:42
1209,28.11,33.63,20,1.73,00:43
1234,28.11,35.38,23,1.39,00:43
1259,28.11,34.63,25,0.94,00:43
1284,28.36,34.13,28,0.46,00:43
1309,28.36,34.13,30,0.81,00:44
1334,28.11,33.63,33,0.89,00:44
1358,28.11,33.88,35,1.97,00:44
1383,28.11,34.63,38,1.44,00:44
1408,28.61,34.63,40,0.59,00:45
1433,28.36,34.13,43,0.52,00:45
1458,28.36,34.13,45,0.49,00:45
1483,28.36,33.88,48,1.89,00:45
1508,28.11,34.13,50,1.84,00:46
1491,28.36,34.63,49,0.86,00:46
1466,28.11,33.63,46,0.46,00:46
1441,28.36,34.63,44,0.67,00:46
1416,28.61,34.38,41,0.75,00:47
1392,28.36,33.88,39,0.96,00:47
1367,28.36,35.13,36,0.20,00:47
1342,28.11,35.63,34,0.49,00:47
1317,28.36,35.13,31,0.30,00:48
1292,28.36,34.88,29,0.70,00:48
1267,28.11,34.13,26,0.46,00:48
1242,28.36,35.38,24,0.41,00:48
1217,28.36,35.13,21,0.28,00:49
1192,28.61,35.38,19,0.01,00:49
1167,28.11,35.38,16,0.25,00:49
1142,28.36,34.63,14,0.22,00:49
1117,28.11,33.88,11,0.25,00:50
1093,28.86,34.13,9,0.20,00:50
1068,28.11,35.88,6,0.30,00:50
1043,28.36,34.38,4,0.28,00:50
1018,28.36,34.63,1,0.25,00:51
1007,28.36,35.63,0,0.33,00:51
1032,28.61,34.88,3,0.57,00:51
1057,28.36,34.38,5,2.29,00:51
1082,28.36,35.13,8,1.36,00:52
1107,28.36,35.13,10,0.96,00:52
1131,28.36,34.88,13,0.57,00:52
1156,28.61,35.13,15,0.57,00:52
1181,28.36,33.63,18,1.78,00:53
1206,28.11,34.13,20,2.07,00:53
1231,28.11,35.38,23,2.02,00:53
1256,28.36,34.88,25,0.25,00:53
1281,28.11,35.63,28,0.52,00:54
1306,28.36,34.38,30,1.18,00:54
1331,28.11,34.38,33,2.05,00:54
1356,28.36,34.63,35,1.07,00:54
1380,28.36,35.38,38,1.12,00:55
1405,28.61,35.38,40,0.41,00:55
1430,28.61,35.13,43,0.44,00:55
1455,28.11,33.88,45,1.41,00:55
1480,28.36,35.13,48,1.97,00:56
1505,28.36,35.13,50,1.55,00:56
1494,28.11,34.13,49,0.15,00:56
1469,28.11,35.38,46,0.73,00:56
1444,28.11,35.13,44,0.91,00:57
1419,28.36,35.13,41,0.89,00:57
1394,28.61,35.38,39,0.15,00:57
1370,28.36,35.38,37,0.67,00:57
1345,28.36,35.13,34,0.41,00:58
1320,28.11,35.13,32,0.46,00:58
1295,28.36,35.38,29,0.07,00:58
1270,28.11,35.38,27,0.67,00:58
1245,28.36,35.38,24,0.25,00:59
1220,28.36,35.63,22,0.46,00:59
1195,28.36,35.63,19,0.30,00:59
1170,28.36,35.13,17,0.30,00:59
1145,28.36,35.88,14,0.07,01:00
1120,28.36,35.88,12,0.28,01:00
1096,28.36,35.88,9,0.17,01:00
1071,28.36,35.38,7,0.25,01:00
1046,28.36,35.88,4,0.20,01:01
1021,28.86,35.38,2,0.28,01:01
1004,28.36,35.38,0,0.28,01:01
1029,28.36,34.38,2,0.44,01:01
1054,28.11,35.13,5,2.21,01:02
1079,28.36,35.88,7,0.89,01:02
1104,28.36,35.63,10,0.96,01:02
1129,28.61,36.38,12,0.54,01:02
1153,28.61,35.38,15,0.59,01:03
1178,28.36,34.88,17,2.05,01:03
1203,28.11,35.38,20,2.26,01:03
1228,28.36,35.13,22,0.83,01:03
1253,28.36,36.63,25,0.52,01:04
1278,28.11,34.63,27,0.86,01:04
1303,28.61,34.88,30,1.04,01:04
1328,28.36,34.63,32,1.57,01:04
1353,28.11,35.38,35,1.92,01:05
1378,28.61,36.13,37,0.49,01:05
1402,28.36,37.89,40,0.52,01:05
1427,28.36,35.63,42,0.52,01:05
1452,28.11,35.63,45,1.62,01:06
1477,28.36,35.88,47,1.18,01:06
1502,28.36,37.14,50,0.59,01:06
1497,28.86,32.87,49,0.20,01:06
1472,28.36,34.13,47,0.30,01:07
1447,28.36,35.63,44,1.07,01:07
1422,28.36,35.13,42,0.70,01:07
1397,28.11,35.38,39,0.83,01:07
1373,28.11,35.38,37,0.67,01:08
1348,28.36,35.63,34,1.10,01:08
1323,28.11,35.13,32,0.91,01:08
1298,28.36,36.13,29,1.04,01:08
1273,28.61,36.13,27,0.20,01:09
1248,28.61,35.88,24,0.09,01:09
1223,28.36,36.13,22,0.36,01:09
1198,28.61,37.14,19,0.41,01:09
1173,27.86,35.63,17,0.04,01:10
1148,28.36,35.63,14,0.22,01:10
1123,28.36,36.88,12,0.28,01:10
1099,28.36,36.63,9,0.22,01:10
1074,28.36,35.88,7,0.22,01:11
1049,28.36,35.63,4,0.22,01:11
1024,28.36,36.38,2,0.20,01:11
1001,28.36,36.13,0,0.25,01:11
1026,28.36,36.13,2,1.07,01:12
1051,28.11,37.39,5,1.81,01:12
1076,28.36,36.13,7,1.73,01:12
1101,28.61,36.13,10,0.49,01:12
1126,28.11,35.63,12,0.65,01:13
1151,28.36,35.13,15,1.47,01:13
1175,28.11,35.38,17,1.36,01:13
1200,28.36,36.13,20,2.05,01:13
1225,28.36,36.38,22,1.07,01:14
1250,28.61,36.88,25,0.52,01:14
1275,28.61,36.13,27,0.46,01:14
1300,28.36,35.63,30,1.02,01:14
1325,28.36,35.63,32,1.65,01:15
1350,28.36,37.14,35,0.01,01:15
1375,28.36,37.14,37,0.54,01:15
1400,28.36,36.13,40,0.52,01:15
1425,28.36,35.63,42,0.91,01:16
1449,28.11,35.88,44,1.81,01:16
1474,28.36,36.38,47,1.31,01:16
1499,28.36,35.88,49,0.49,01:16
1500,27.61,34.88,50,0.30,01:17
1475,28.36,36.13,47,0.41,01:17
1450,28.11,35.63,45,0.46,01:17
1425,28.11,35.88,42,0.83,01:17
1400,28.11,36.13,40,0.94,01:18
1375,28.36,35.63,37,0.54,01:18
1351,28.36,35.63,35,0.44,01:18
1326,28.11,36.13,32,0.89,01:18
1301,28.61,36.13,30,0.83,01:19
1276,28.11,36.13,27,0.65,01:19
1251,28.36,35.88,25,0.70,01:19
1226,28.11,36.38,22,0.94,01:19
1201,28.36,37.14,20,-0.01,01:20
1176,28.11,36.88,17,0.30,01:20
1151,28.61,36.13,15,0.22,01:20
1126,28.36,36.63,12,0.09,01:20
1101,28.61,37.14,10,0.20,01:21
1077,28.36,36.88,7,0.22,01:21
1052,28.36,36.63,5,0.30,01:21
1027,28.36,35.88,2,0.15,01:21
1002,28.36,35.88,0,0.15,01:22
1023,28.11,35.38,2,1.84,01:22
1048,29.11,37.64,4,0.38,01:22
1073,28.36,36.63,7,0.67,01:22
1098,28.36,36.88,9,0.67,01:23
1123,28.61,36.88,12,0.62,01:23
1147,28.36,36.88,14,0.73,01:23
1172,28.36,36.63,17,1.68,01:23
1197,28.11,36.63,19,2.15,01:24
1222,28.36,36.88,22,0.54,01:24
1247,28.36,37.39,24,0.46,01:24
1272,28.61,36.13,27,0.91,01:24
1297,28.36,36.63,29,0.89,01:25
1322,28.61,36.38,32,1.68,01:25
1347,28.36,36.63,34,1.02,01:25
1372,28.61,37.39,37,0.62,01:25
1396,28.61,36.88,39,0.04,01:26
1421,28.36,35.88,42,0.70,01:26
1446,28.61,36.13,44,1.81,01:26
1471,28.36,36.13,47,1.76,01:26
1496,28.36,36.88,49,0.59,01:27
1503,28.36,36.13,50,0.36,01:27
1478,28.36,36.13,47,0.15,01:27
1453,28.36,36.88,45,0.25,01:27
1428,28.11,36.13,42,0.30,01:28
1403,28.61,36.38,40,0.49,01:28
1379,28.36,36.13,37,0.52,01:28
1354,28.11,36.38,35,0.73,01:28
1329,27.86,36.88,32,1.12,01:29
1304,28.11,36.13,30,0.49,01:29
1279,28.11,36.38,27,0.83,01:29
1254,28.61,36.13,25,1.04,01:29
1229,28.36,37.14,22,0.86,01:30
1204,29.11,36.88,20,0.67,01:30
1179,28.36,37.14,17,0.96,01:30
1154,28.11,37.89,15,0.25,01:30
1130,28.36,36.63,13,0.83,01:31
1105,28.61,37.14,10,0.38,01:31
1080,28.36,36.88,8,0.01,01:31
1055,28.36,36.88,5,0.30,01:31
1030,28.36,37.39,3,0.36,01:32
1005,28.61,37.14,0,0.28,01:32
1020,28.36,36.88,2,0.20,01:32
1045,28.86,36.88,4,2.05,01:32
1070,28.36,37.64,7,1.28,01:33
1095,28.61,36.38,9,0.96,01:33
1120,29.11,38.89,12,1.04,01:33
1144,28.61,36.88,14,0.91,01:33
1169,28.11,36.13,16,1.70,01:34
1194,28.36,37.14,19,1.86,01:34
1219,28.36,37.14,21,1.20,01:34
1244,28.11,36.88,24,0.59,01:34
1269,28.36,37.64,26,0.70,01:35
1294,28.36,37.14,29,0.67,01:35
1319,28.36,36.88,31,2.02,01:35
1344,28.61,37.89,34,1.33,01:35
1368,28.36,37.64,36,1.62,01:36
1393,28.11,36.38,39,0.57,01:36
1418,28.36,37.64,41,0.57,01:36
1443,28.36,36.38,44,1.28,01:36
1468,28.11,36.88,46,1.86,01:37
1493,28.36,37.39,49,0.83,01:37
1506,28.36,37.89,50,0.36,01:37
1481,28.61,38.39,48,0.20,01:37
1456,28.36,37.39,45,0.12,01:38
1431,28.36,36.88,43,0.28,01:38
1406,28.61,37.14,40,0.25,01:38
1382,28.36,38.39,38,0.22,01:38
1357,28.36,37.64,35,0.28,01:39
1332,28.36,36.63,33,0.25,01:39
1307,28.36,37.14,30,0.22,01:39
1282,28.36,36.88,28,0.52,01:39
1257,28.36,37.14,25,0.22,01:40
1232,28.36,37.14,23,0.22,01:40
1207,28.11,37.64,20,0.73,01:40
1183,28.36,36.63,18,0.33,01:40
1158,28.36,36.88,15,0.25,01:41
1133,28.36,37.14,13,1.12,01:41
1108,28.61,37.39,10,0.65,01:41
1083,28.36,36.38,8,0.91,01:41
1058,28.36,37.64,5,0.67,01:42
1033,28.36,36.88,3,0.73,01:42
1008,28.36,37.39,0,0.46,01:42
1017,28.36,38.39,1,0.52,01:42
1042,28.36,37.64,4,1.25,01:43
1067,28.36,37.89,6,0.33,01:43
1092,28.11,37.39,9,0.52,01:43
1116,28.36,37.89,11,0.65,01:43
1141,28.36,37.14,14,0.67,01:44
1166,28.36,37.14,16,0.59,01:44
1191,28.11,36.88,19,2.36,01:44
1216,28.36,37.39,21,1.52,01:44
1241,28.36,37.64,24,0.67,01:45
1266,28.36,37.64,26,0.36,01:45
1291,28.36,38.14,29,0.67,01:45
1316,28.36,37.64,31,0.86,01:45
1341,28.61,37.64,34,1.70,01:46
1365,28.36,38.14,36,1.15,01:46
1390,28.36,37.89,39,1.10,01:46
1415,28.36,38.39,41,0.54,01:46
1440,28.61,37.39,44,0.89,01:47
1465,28.36,37.14,46,0.67,01:47
1490,28.61,37.64,49,1.84,01:47
1509,28.11,38.39,50,1.33,01:47
1484,27.86,39.39,48,0.25,01:48
1459,28.11,37.14,45,0.41,01:48
1434,28.36,37.64,43,0.22,01:48
1410,28.61,38.14,41,0.36,01:48
1385,28.86,35.63,38,0.28,01:49
1360,28.36,39.39,36,0.17,01:49
1335,28.36,37.64,33,0.22,01:49
1310,28.36,38.14,31,0.36,01:49
1285,28.36,37.64,28,0.20,01:50
1260,28.36,37.14,26,0.25,01:50
1235,28.36,37.64,23,0.20,01:50
1210,28.61,37.89,21,0.20,01:50
1185,28.36,38.14,18,0.44,01:51
1161,28.36,37.64,16,0.33,01:51
1136,28.61,37.39,13,0.04,01:51
1111,28.36,37.64,11,0.28,01:51
1086,28.36,37.39,8,0.25,01:52
1061,28.36,37.64,6,0.67,01:52
1036,28.61,38.39,3,0.44,01:52
1011,28.61,37.89,1,0.89,01:52
1014,28.36,38.89,1,0.99,01:53
1039,28.11,37.64,3,1.15,01:53
1064,28.36,38.39,6,1.25,01:53
1089,28.36,38.89,8,1.76,01:53
1113,28.36,37.89,11,0.83,01:54
1138,28.36,37.89,13,0.70,01:54
1163,28.36,38.14,16,0.62,01:54
1188,28.36,37.89,18,1.15,01:54
1213,28.36,37.39,21,1.57,01:55
1238,28.36,37.89,23,1.99,01:55
1263,28.11,38.14,26,1.49,01:55
1288,28.61,39.39,28,0.57,01:55
1313,28.61,37.39,31,0.33,01:56
1338,28.36,37.39,33,1.60,01:56
1363,28.36,38.39,36,2.31,01:56
1387,28.11,38.14,38,0.01,01:56
1412,28.11,37.64,41,1.04,01:57
1437,28.61,38.89,43,0.44,01:57
1462,28.61,38.64,46,0.52,01:57
1487,28.36,38.89,48,1.47,01:57
1512,28.36,39.14,51,1.81,01:58
1487,28.86,38.64,48,0.54,01:58
1462,28.61,37.64,46,0.89,01:58
1437,28.61,37.64,43,0.62,01:58
1413,28.36,38.39,41,0.65,01:59
1388,28.36,39.14,38,0.75,01:59
1363,28.36,39.39,36,0.57,01:59
1338,28.11,38.39,33,0.38,01:59
1313,28.36,38.64,31,0.28,02:00
1288,28.36,38.39,28,0.28,02:00
1263,28.36,38.39,26,0.52,02:00
1238,28.36,38.39,23,0.36,02:00
1213,28.36,39.14,21,0.38,02:01
1188,28.11,38.64,18,0.36,02:01
1163,28.61,39.64,16,0.22,02:01
1139,28.36,38.64,13,0.33,02:01
1114,28.11,38.89,11,0.25,02:02
1089,28.61,38.39,8,0.15,02:02
1064,28.11,38.64,6,0.15,02:02
1039,28.36,39.39,3,0.33,02:02
1014,28.36,38.39,1,0.30,02:03
1011,28.61,39.14,1,0.57,02:03
1036,28.36,39.39,3,0.70,02:03
1061,28.61,39.39,6,0.62,02:03
1086,28.11,37.89,8,0.57,02:04
1110,28.11,38.39,11,1.89,02:04
1135,28.36,38.89,13,0.96,02:04
1160,28.36,38.39,16,0.62,02:04
1185,28.36,38.39,18,0.57,02:05
1210,28.36,38.64,21,1.02,02:05
1235,28.11,38.64,23,1.92,02:05
1260,28.11,38.89,26,1.68,02:05
1285,28.11,38.39,28,2.02,02:06
1310,28.36,38.39,31,0.57,02:06
1335,28.61,39.64,33,0.52,02:06
1359,28.36,38.14,35,0.12,02:06
1384,28.11,37.89,38,2.10,02:07
1409,28.36,39.14,40,1.36,02:07
1434,28.11,38.64,43,0.04,02:07
1459,28.61,39.89,45,0.46,02:07
1484,28.36,38.64,48,0.52,02:08
1509,28.61,38.39,50,0.65,02:08
1490,28.11,38.89,49,0.28,02:08
1465,28.11,38.39,46,0.41,02:08
1440,28.36,38.89,44,0.46,02:09
1416,28.36,38.89,41,0.22,02:09
1391,28.36,38.64,39,0.28,02:09
1366,28.11,38.14,36,0.52,02:09
1341,28.36,38.89,34,0.20,02:10
1316,28.36,38.89,31,0.75,02:10
1291,28.36,38.39,29,0.73,02:10
1266,28.36,38.14,26,0.36,02:10
1241,28.36,39.14,24,0.57,02:11
1216,28.11,38.89,21,0.49,02:11
1191,28.36,38.89,19,0.70,02:11
1167,28.36,38.64,16,0.81,02:11
1142,28.36,39.14,14,1.18,02:12
1117,28.11,39.14,11,0.67,02:12
1092,28.36,38.89,9,0.54,02:12
1067,28.36,39.14,6,0.41,02:12
1042,28.61,39.64,4,0.38,02:13
1017,28.11,39.14,1,0.89,02:13
1008,28.11,38.89,0,1.49,02:13
1033,28.36,38.89,3,1.39,02:13
1057,28.11,38.89,5,0.73,02:14
1082,28.61,40.14,8,0.57,02:14
1107,28.36,38.39,10,1.36,02:14
1132,28.36,38.64,13,2.13,02:14
1157,28.11,38.89,15,1.41,02:15
1182,28.61,38.89,18,0.52,02:15
1207,28.61,39.89,20,0.62,02:15
1232,28.11,39.89,23,0.67,02:15
1257,28.36,38.14,25,0.94,02:16
1282,28.36,39.39,28,2.10,02:16
1306,28.36,39.89,30,1.84,02:16
1331,28.36,38.14,33,-0.04,02:16
1356,28.61,40.39,35,0.59,02:17
1381,28.36,38.39,38,0.89,02:17
1406,28.36,38.39,40,0.04,02:17
1431,28.11,39.89,43,1.73,02:17
1456,28.36,38.89,45,0.59,02:18
1481,28.36,39.39,48,0.59,02:18
1506,28.36,39.64,50,0.49,02:18
1493,28.36,39.14,49,0.20,02:18
1469,28.11,38.89,46,0.49,02:19
1444,28.36,39.39,44,0.36,02:19
1419,28.36,39.39,41,0.28,02:19
1394,28.36,39.64,39,0.25,02:19
1369,28.36,39.39,36,0.30,02:20
1344,28.36,39.39,34,0.22,02:20
1319,28.11,39.39,31,0.22,02:20
1294,28.61,38.39,29,0.25,02:20
1269,28.36,38.89,26,0.36,02:21
1244,28.36,39.39,24,0.28,02:21
1219,28.36,40.14,21,0.28,02:21
1194,28.61,39.14,19,0.33,02:21
1170,28.36,39.39,17,0.17,02:22
1145,28.36,39.14,14,0.25,02:22
1120,28.36,39.14,12,0.59,02:22
1095,28.36,38.89,9,0.20,02:22
1070,28.36,38.89,7,0.30,02:23
1045,28.11,38.64,4,0.94,02:23
1020,28.36,39.39,2,0.44,02:23
1005,28.36,39.64,0,1.15,02:23
1030,28.36,39.14,3,1.73,02:24
1055,28.36,40.14,5,2.02,02:24
1079,28.61,39.64,7,0.65,02:24
1104,28.36,39.89,10,0.59,02:24
1129,28.36,39.64,12,0.59,02:25
1154,28.36,38.89,15,1.15,02:25
1179,28.86,39.64,17,1.68,02:25
1204,27.86,39.14,20,0.75,02:25
1229,28.61,39.14,22,0.67,02:26
1254,28.61,39.64,25,0.62,02:26
1279,28.36,39.39,27,1.28,02:26
1304,28.36,38.89,30,1.25,02:26
1328,28.11,39.64,32,2.07,02:27
1353,28.86,39.14,35,0.67,02:27
1378,28.86,39.64,37,-0.01,02:27
1403,29.11,38.39,40,0.65,02:27
1428,28.36,41.15,42,0.52,02:28
1453,28.11,38.64,45,0.01,02:28
1478,28.61,38.39,47,1.60,02:28
1503,28.61,42.40,50,0.59,02:28
1496,28.36,39.39,49,0.54,02:29
1471,28.11,39.64,47,0.73,02:29
1446,28.36,39.64,44,0.44,02:29
1422,28.61,40.39,42,0.70,02:29
1397,28.36,40.14,39,0.86,02:30
1372,28.11,39.89,37,0.52,02:30
1347,28.36,40.14,34,0.46,02:30
