Inicializando sensores...
Novo Neutro - Servo posicionado para PWM: 1370 - Ângulo: 37
Teste interrompido. Servo na posição mínima.
Teste iniciado.
1500,30.75,50,3103.00,00:38
1530,31.00,53,3130.00,00:38
1550,31.25,55,3314.00,00:38
1580,31.25,58,3095.00,00:39
1600,31.25,60,3125.00,00:39
1570,31.25,57,3109.00,00:39
1550,31.25,55,3467.00,00:39
1520,31.50,52,3984.00,00:40
1500,31.00,50,3152.00,00:40
1470,31.50,47,3221.00,00:40
1450,31.50,45,3219.00,00:40
1420,31.00,42,3689.00,00:41
1400,31.50,40,3577.00,00:41
1370,31.00,37,3218.00,00:41
1350,31.75,35,3249.00,00:41
1320,31.50,32,3472.00,00:42
1300,31.50,30,3808.00,00:42
1270,31.50,27,3255.00,00:42
1250,31.75,25,3215.00,00:42
1220,31.50,22,3255.00,00:43
1200,31.50,20,3514.00,00:43
1170,31.50,17,3286.00,00:43
1150,31.75,15,3179.00,00:43
1160,31.25,16,3091.00,00:44
1180,31.50,18,3136.00,00:44
1210,31.00,21,3266.00,00:44
1230,31.00,23,3136.00,00:44
1260,31.50,26,3164.00,00:45
1280,31.25,28,3087.00,00:45
1310,31.50,31,3139.00,00:45
1330,31.50,33,3178.00,00:45
1360,31.50,36,3454.00,00:46
1380,31.25,38,3138.00,00:46
1410,31.75,41,3079.00,00:46
1430,31.75,43,3120.00,00:46
1460,31.50,46,3136.00,00:47
1480,31.25,48,3312.00,00:47
1510,31.50,51,3152.00,00:47
1530,31.50,53,3098.00,00:47
1560,31.75,56,3327.00,00:48
1580,31.25,58,3120.00,00:48
1590,31.25,59,3328.00,00:48
1570,31.50,57,3583.00,00:48
1540,31.25,54,3045.00,00:49
1520,31.75,52,3177.00,00:49
1490,31.50,49,3232.00,00:49
1470,31.75,47,3313.00,00:49
1440,31.75,44,3630.00,00:50
1420,31.50,42,3433.00,00:50
1390,31.50,39,0.00,00:50
1360,31.25,36,0.00,00:51
1340,31.75,34,0.00,00:51
1310,31.25,31,0.00,00:51
1290,31.75,29,0.00,00:51
1260,31.75,26,0.00,00:52
1240,32.00,24,0.00,00:52
1210,31.50,21,0.00,00:52
1190,31.75,19,0.00,00:52
1160,31.75,16,0.00,00:53
1140,31.50,14,0.00,00:53
1170,31.75,17,0.00,00:53
1190,31.75,19,0.00,00:53
1220,31.75,22,0.00,00:54
1240,31.75,24,0.00,00:54
1270,31.75,27,0.00,00:54
1290,32.00,29,0.00,00:54
1320,32.00,32,0.00,00:55
1340,31.50,34,0.00,00:55
1370,32.00,37,0.00,00:55
1390,31.75,39,0.00,00:55
1420,32.00,42,0.00,00:56
1440,32.25,44,0.00,00:56
1470,32.00,47,0.00,00:56
1490,31.50,49,0.00,00:56
1520,32.25,52,0.00,00:57
1540,31.50,54,0.00,00:57
1570,31.75,57,0.00,00:57
1590,31.75,59,0.00,00:57
1580,31.50,58,0.00,00:58
1560,31.75,56,0.00,00:58
1530,32.00,53,0.00,00:58
1510,32.00,51,0.00,00:58
1480,31.75,48,0.00,00:59
1460,32.00,46,0.00,00:59
1430,31.75,43,0.00,00:59
1410,32.00,41,0.00,00:59
1380,32.00,38,0.00,01:00
1360,32.00,36,0.00,01:00
1330,32.50,33,0.00,01:00
1310,32.00,31,0.00,01:00
1280,32.25,28,0.00,01:01
1260,31.75,26,0.00,01:01
1230,31.75,23,0.00,01:01
1210,32.25,21,0.00,01:01
1180,32.25,18,0.00,01:02
1160,32.00,16,0.00,01:02
1150,31.75,15,0.00,01:02
1170,32.25,17,0.00,01:02
1200,31.25,20,0.00,01:03
1230,32.00,23,0.00,01:03
1250,32.00,25,0.00,01:03
1280,32.50,28,0.00,01:03
1300,32.00,30,0.00,01:04
1330,32.25,33,3411.00,01:04
1350,32.00,35,3179.00,01:04
1380,32.00,38,3181.00,01:04
1400,32.00,40,3211.00,01:05
1430,31.75,43,3101.00,01:05
1450,32.25,45,3274.00,01:05
1480,32.00,48,3088.00,01:05
1500,32.25,50,3136.00,01:06
1530,32.00,53,3241.00,01:06
1550,32.25,55,3121.00,01:06
1580,32.25,58,3116.00,01:06
1600,31.75,60,3151.00,01:07
1570,32.25,57,3293.00,01:07
1550,32.00,55,3178.00,01:07
1520,32.50,52,3184.00,01:07
1500,32.50,50,3191.00,01:08
1470,32.00,47,3659.00,01:08
1450,32.25,45,3694.00,01:08
1420,32.00,42,3219.00,01:08
1400,32.00,40,3233.00,01:09
1370,32.50,37,3414.00,01:09
1350,32.25,35,3653.00,01:09
1320,32.50,32,3243.00,01:09
1300,32.50,30,3216.00,01:10
1270,32.50,27,3143.00,01:10
1250,32.50,25,3550.00,01:10
1220,32.00,22,3398.00,01:10
1200,32.75,20,3246.00,01:11
1170,32.50,17,3218.00,01:11
1150,32.50,15,3302.00,01:11
1160,32.75,16,3152.00,01:11
1180,32.25,18,3344.00,01:12
1210,32.25,21,3147.00,01:12
1230,32.50,23,3142.00,01:12
1260,32.75,26,3446.00,01:12
1280,32.25,28,3149.00,01:13
1310,32.50,31,3121.00,01:13
1330,32.50,33,3135.00,01:13
1360,32.25,36,3127.00,01:13
1380,32.00,38,3377.00,01:14
1410,32.25,41,3162.00,01:14
1430,32.50,43,3117.00,01:14
1460,32.50,46,3305.00,01:14
