sep=,
Make,Model,Modulation,Weight (g),L (mm),C (mm),A (mm),TensãoTorque1,Torque1 (kgf.cm),TensãoTorque2,Torque2 (kgf.cm),TensãoTorque3,Torque3 (kgf.cm),TensãoTorque4,Torque4 (kgf.cm),TensãoTorque5,Torque5 (kgf.cm),TensãoSpeed1,Speed1 (°/s),TensãoSpeed2,Speed2 (°/s),TensãoSpeed3,Speed3 (°/s),TensãoSpeed4,Speed4 (°/s),TensãoSpeed5,Speed5 (°/s),Motor Type,Rotation,Gear Material,Typical Price
Savöx,SV0320P,Digital,45.93,40.64,20.07,37.08,6.0,4.50,7.4,6.00,,,,,,,6.0,375.00,7.4,461.54,,,,,,,-,-,Plastic,-
Savöx,SV1232MG,Digital,22.96,23.11,11.94,27.18,6.0,4.00,7.4,5.00,6.0,4.00,7.4,5.00,,,6.0,1000.00,7.4,1200.00,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1250MG*,Digital,29.48,35.05,14.99,29.21,4.8,4.60,6.0,8.00,,,,,,,4.8,545.45,6.0,600.00,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1250MGP,Digital,29.48,35.05,14.99,29.21,6.0,4.60,7.4,8.00,,,,,,,6.0,545.45,7.4,600.00,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1254MG*,-,45.93,40.89,20.32,25.40,6.0,12.00,7.4,15.00,6.0,12.00,7.4,15.00,,,6.0,545.45,7.4,666.67,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1254MGP,Digital,45.93,40.89,20.32,25.40,7.4,15.00,8.4,18.00,7.4,15.00,8.4,18.00,,,7.4,666.67,8.4,750.00,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1257MG,Digital,29.48,35.05,14.99,29.21,6.0,2.50,7.4,4.00,,,,,,,6.0,857.14,7.4,1000.00,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1257MGP,Digital,29.48,35.05,14.99,29.21,6.0,2.50,7.4,4.00,,,,,,,6.0,857.14,7.4,1000.00,,,,,,,-,-,Metal,-
Savöx,SV1260MG,Digital,39.97,35.05,14.99,30.73,6.0,8.00,7.4,12.00,6.0,8.00,7.4,12.00,,,6.0,857.14,7.4,1000.00,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1261MG,Digital,39.97,35.05,14.99,30.73,6.0,14.98,7.4,19.95,6.0,14.98,7.4,19.95,,,6.0,500.00,7.4,600.00,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1270TG*,Digital,56.13,40.39,20.32,37.08,6.0,26.00,7.4,35.00,6.0,26.00,7.4,35.00,,,6.0,428.57,7.4,545.45,,,,,,,Coreless,Dual Bearings,Titanium,-
Savöx,SV1270TGP,Digital,64.07,40.39,20.32,37.08,7.4,40.00,8.4,45.00,7.4,40.00,8.4,45.00,,,7.4,545.45,8.4,600.00,,,,,,,Coreless,Dual Bearings,Titanium,-
Savöx,SV1271SG*,Digital,62.94,40.39,20.32,37.08,6.0,20.00,7.4,25.00,6.0,20.00,7.4,25.00,,,6.0,545.45,7.4,750.00,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1271SGP,Digital,62.94,40.39,20.32,37.08,7.4,25.00,8.4,35.00,7.4,25.00,8.4,35.00,,,7.4,750.00,8.4,857.14,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1272SG*,Digital,62.94,40.39,20.32,37.08,6.0,23.00,7.4,30.00,6.0,23.00,7.4,30.00,,,6.0,461.54,7.4,600.00,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1272SGP,Digital,62.94,40.39,20.32,37.08,7.4,35.00,8.4,40.00,7.4,35.00,8.4,40.00,,,7.4,600.00,8.4,666.67,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SV1273TG*,Digital,56.13,40.39,20.32,37.08,6.0,14.00,7.4,16.00,6.0,14.00,7.4,16.00,,,6.0,750.00,7.4,857.14,,,,,,,Coreless,Dual Bearings,Titanium,-
Savöx,SV1273TGP,Digital,64.07,40.39,20.32,37.08,7.4,20.00,8.4,25.00,7.4,20.00,8.4,25.00,,,7.4,857.14,8.4,1000.00,,,,,,,Coreless,Dual Bearings,Titanium,-
Savöx,SV1274MG,Digital,60.95,40.39,20.32,37.08,7.4,10.00,8.4,15.00,7.4,10.00,8.4,15.00,,,7.4,1200.00,8.4,1200.00,,,,,,,-,-,Metal,-
Savöx,SV1280SGP,-,75.98,40.39,20.32,38.10,7.4,45.00,8.4,55.00,7.4,45.00,8.4,55.00,,,7.4,428.57,8.4,500.00,,,,,,,Brushed,Dual Bearings,Metal,-
Savöx,SW0230MG*,Digital,60.10,41.91,20.32,38.10,6.0,6.50,7.4,8.00,,,,,,,6.0,375.00,7.4,461.54,,,,,,,Brushed,Dual Bearings,Metal,-
Savöx,SW0230MGP,Digital,60.10,41.91,20.32,38.10,6.0,6.50,7.4,8.00,,,,,,,6.0,375.00,7.4,461.54,,,,,,,Brushed,Dual Bearings,Metal,-
Savöx,SW0231MG*,Digital,66.05,41.91,20.32,42.93,4.8,12.00,6.0,15.00,,,,,,,4.8,300.00,6.0,352.94,,,,,,,Brushed,Dual Bearings,Metal,-
Savöx,SW0231MGP,Digital,66.05,41.91,20.32,42.93,6.0,15.00,7.4,25.00,,,,,,,6.0,352.94,7.4,400.00,,,,,,,Brushed,Dual Bearings,Metal,-
Savöx,SW0240MG,Digital,199.86,65.79,29.97,59.18,6.0,28.00,7.4,35.00,6.0,28.00,7.4,35.00,,,6.0,333.33,7.4,400.00,,,,,,,Brushed,Dual Bearings,Metal,-
Savöx,SW0241MG*,Digital,199.86,65.79,29.97,59.18,6.0,30.00,7.4,40.00,6.0,30.00,7.4,40.00,,,6.0,285.71,7.4,352.94,,,,,,,Brushed,Dual Bearings,Metal,-
Savöx,SW0241MGP,Digital,199.86,65.79,29.97,59.18,6.0,30.00,7.4,40.00,6.0,30.00,7.4,40.00,,,6.0,285.71,7.4,352.94,,,,,,,-,-,Metal,-
Savöx,SW0250MG*,Digital,24.95,29.46,13.97,32.51,4.8,3.50,6.0,5.00,,,,,,,4.8,428.57,6.0,545.45,,,,,,,Brushed,Single Bearing,Metal,-
Savöx,SW0250MGP,Digital,24.95,29.46,13.97,32.51,4.8,3.50,6.0,5.00,,,,,,,4.8,428.57,6.0,545.45,,,,,,,Brushed,Single Bearing,Metal,-
Savöx,SW0267MGP,Digital,13.89,22.61,12.70,23.62,4.8,12.70,6.0,6.00,,,,,,,4.8,375.00,6.0,428.57,,,,,,,-,-,Metal,-
Savöx,SW1210SG*,Digital,70.87,40.64,20.57,41.91,6.0,20.00,7.4,32.00,6.0,20.00,7.4,32.00,,,6.0,400.00,7.4,461.54,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SW1210SG-BE*,Digital,70.87,40.64,20.57,41.91,6.0,20.00,7.4,32.00,6.0,20.00,7.4,32.00,,,6.0,400.00,7.4,461.54,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SW1210SGP,Digital,70.87,40.64,20.57,41.91,7.4,32.00,8.4,37.00,7.4,32.00,8.4,37.00,,,7.4,461.54,8.4,500.00,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SW1210SGP-BE,Digital,70.87,40.64,20.57,41.91,6.0,20.00,7.4,32.00,8.4,37.00,6.0,20.00,7.4,32.00,6.0,400.00,7.4,461.54,8.4,500.00,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SW1211SG*,-,70.87,40.64,20.57,41.91,6.0,15.00,7.4,25.00,6.0,15.00,7.4,25.00,,,6.0,600.00,7.4,750.00,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SW1211SG-BE,Digital,70.87,40.64,20.57,41.91,6.0,15.00,7.4,25.00,8.4,30.00,6.0,15.00,7.4,25.00,6.0,600.00,7.4,750.00,8.4,857.14,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SW1211SGP-BE,Digital,70.87,40.64,20.57,41.91,7.4,25.00,8.4,30.00,7.4,25.00,8.4,30.00,,,7.4,750.00,8.4,857.14,,,,,,,-,-,Metal,-
Savöx,SW1212SG*,-,83.06,40.64,20.57,45.97,6.0,36.00,7.4,45.94,6.0,36.00,7.4,45.94,,,6.0,352.94,7.4,428.57,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SW1212SG-BE*,-,83.06,40.64,20.57,45.97,6.0,36.00,7.4,45.94,6.0,36.00,7.4,45.94,,,6.0,352.94,7.4,428.57,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SW1212SGP,Digital,83.06,40.64,20.57,45.97,6.0,36.00,7.4,45.94,6.0,36.00,7.4,45.94,,,6.0,352.94,7.4,428.57,,,,,,,Coreless,Dual Bearings,Metal,-
Savöx,SW1212SGP-BE,Digital,83.06,40.64,20.57,45.97,7.4,46.00,8.4,52.00,7.4,46.00,8.4,52.00,,,7.4,428.57,8.4,461.54,,,,,,,-,-,Metal,-
Savöx,SW1213SG,Digital,83.06,40.64,20.57,45.97,7.4,38.00,7.4,38.00,,,,,,,7.4,375.00,,,,,,,,,-,-,Metal,-
Savöx,SW1250MG,Digital,,40.13,14.99,32.51,6.0,5.00,7.4,8.00,,,,,,,6.0,500.00,7.4,600.00,,,,,,,Coreless,Single Bearing,Metal,-
Savöx,SW1250MGP,Digital,29.48,35.05,14.99,29.21,6.0,5.00,7.4,8.00,8.4,10.00,,,,,6.0,500.00,7.4,6000.00,8.4,750.00,,,,,-,-,Metal,-
Savöx,SW2210SG*,-,79.10,40.64,20.57,41.91,6.0,25.99,7.4,36.00,6.0,25.99,7.4,36.00,,,6.0,428.57,7.4,545.45,,,,,,,Brushless,Dual Bearings,Metal,-
Savöx,SW2210SG-BE,Digital,79.10,40.64,20.57,41.91,7.4,39.96,8.4,45.00,7.4,39.96,8.4,45.00,,,7.4,545.45,8.4,600.00,,,,,,,Brushless,Dual Bearings,Metal,-
Savöx,SW2290SG-BE,Digital,81.08,40.89,21.08,39.88,6.0,45.00,7.4,55.00,8.4,70.00,6.0,45.00,7.4,55.00,6.0,375.00,7.4,461.54,8.4,545.45,,,,,Brushless,Triple Bearings,Metal,-
Scanner RC,HDS-9311BB*,Digital,12.47,24.89,11.43,23.37,4.8,1.58,,,,,,,,,4.8,500.00,,,,,,,,,-,Dual Bearings,-,-
Scanner RC,HDS-9314MG*,Digital,14.46,24.89,11.43,23.37,4.8,1.58,6.0,2.02,,,,,,,4.8,500.00,6.0,545.45,,,,,,,-,Dual Bearings,-,-
Scanner RC,HDS-9864MG*,Digital,47.91,40.64,19.81,38.61,4.8,9.36,6.0,10.23,,,,,,,4.8,500.00,6.0,600.00,,,,,,,-,-,Metal,-
Scanner RC,HDS-9866MG*,Digital,47.91,40.64,19.81,38.61,4.8,5.90,6.0,8.06,,,,,,,4.8,545.45,6.0,666.67,,,,,,,-,-,Metal,-
Scanner RC,HDS-9960MG*,Digital,136.08,43.69,20.07,42.67,4.8,18.87,6.0,25.06,,,,,,,4.8,375.00,6.0,461.54,,,,,,,-,-,Metal,-
Scanner RC,SSV-9103*,Analog,3.69,20.83,9.40,20.32,4.8,1.01,,,,,,,,,4.8,500.00,,,,,,,,,-,-,Plastic,-
Scanner RC,SSV-9103MG*,Analog,4.54,20.83,9.40,20.32,4.8,1.01,,,,,,,,,4.8,500.00,,,,,,,,,-,-,Metal,$16.49
Scanner RC,SSV-9305*,Analog,5.39,21.84,10.16,22.86,4.8,0.80,,,,,,,,,4.8,545.45,,,,,,,,,-,-,-,-
Scanner RC,SSV-9306BB*,Analog,6.24,21.84,10.16,22.86,4.8,0.80,,,,,,,,,4.8,600.00,,,,,,,,,-,Dual Bearings,Plastic,$8.79
Scanner RC,SSV-9306MG*,Analog,22.40,21.84,10.16,22.86,4.8,1.22,6.0,1.44,,,,,,,4.8,461.54,6.0,500.00,,,,,,,-,Single Bearing,Metal,-
Scanner RC,SSV-9308*,Analog,8.50,24.38,10.92,25.15,4.8,1.51,,,,,,,,,4.8,500.00,,,,,,,,,-,-,Plastic,-
Scanner RC,SSV-9309*,Analog,9.07,24.89,11.43,23.37,4.8,1.58,,,,,,,,,4.8,461.54,,,,,,,,,-,-,Metal,-
Scanner RC,SSV-9311BB*,Analog,9.64,24.89,11.43,23.37,4.8,1.58,,,,,,,,,4.8,461.54,,,,,,,,,-,Dual Bearings,-,-
Scanner RC,SSV-9314MG*,Analog,11.34,24.89,11.43,23.37,4.8,1.58,6.0,2.02,,,,,,,4.8,400.00,6.0,461.54,,,,,,,-,-,Metal,-
Scanner RC,SSV-9315*,Analog,15.31,29.46,12.95,25.91,4.8,2.30,,,,,,,,,4.8,428.57,,,,,,,,,-,-,-,-
Scanner RC,SSV-9317BB*,Analog,17.58,30.48,12.70,26.67,4.8,2.30,,,,,,,,,4.8,428.57,,,,,,,,,-,Dual Bearings,-,-
Scanner RC,SSV-9320MG*,Analog,20.13,30.48,12.70,26.67,4.8,3.60,6.0,4.18,,,,,,,4.8,400.00,6.0,461.54,,,,,,,-,-,Metal,-
Scanner RC,SSV-9320MG+RTG*,Analog,16.16,29.46,12.95,25.91,4.8,2.88,6.0,3.46,,,,,,,4.8,352.94,6.0,400.00,,,,,,,-,-,Metal,-
Scanner RC,SSV-9450HMG*,Digital,22.96,29.46,12.95,25.91,4.8,5.62,6.0,6.98,,,,,,,4.8,333.33,6.0,375.00,,,,,,,-,-,Metal,-
Scanner RC,SSV-9452HMG*,Digital,22.96,29.46,12.95,25.91,4.8,3.10,6.0,3.89,,,,,,,4.8,600.00,6.0,750.00,,,,,,,-,-,Metal,-
Scanner RC,SSV-9610MG*,Analog,34.02,41.91,19.81,22.10,4.8,8.06,6.0,9.65,,,,,,,4.8,375.00,6.0,428.57,,,,,,,-,Dual Bearings,Metal,-
Scanner RC,SSV-9610MG+RTG*,Analog,34.02,41.91,19.81,22.10,4.8,8.06,6.0,9.65,,,,,,,4.8,193.55,6.0,250.00,,,,,,,-,-,Metal,-
Scanner RC,SSV-9612MG*,Analog,34.02,41.91,19.81,22.10,4.8,5.33,6.0,6.48,,,,,,,4.8,461.54,6.0,545.45,,,,,,,-,Dual Bearings,Metal,-
Scanner RC,SSV-9704*,Analog,41.96,40.64,19.81,39.12,4.8,3.89,6.0,4.32,,,,,,,4.8,260.87,6.0,285.71,,,,,,,-,Bushing,Plastic,-
Scanner RC,SSV-9724*,Analog,41.96,40.64,19.81,39.12,4.8,8.64,6.0,9.51,,,,,,,4.8,428.57,6.0,500.00,,,,,,,-,Single Bearing,Plastic,-
Scanner RC,SSV-9726*,Analog,41.96,40.64,19.81,39.12,4.8,6.98,6.0,7.63,,,,,,,4.8,461.54,6.0,666.67,,,,,,,-,Single Bearing,Plastic,-
Scanner RC,SSV-9764MG*,Analog,47.91,40.64,19.81,39.12,4.8,8.64,6.0,9.51,,,,,,,4.8,428.57,6.0,500.00,,,,,,,-,Dual Bearings,Metal,-
Scanner RC,SSV-9766MG*,Analog,47.91,40.64,19.81,39.12,4.8,6.98,6.0,7.63,,,,,,,4.8,545.45,6.0,666.67,,,,,,,-,Dual Bearings,Metal,-
Scanner RC,SSV-9776MG*,Analog,51.88,40.64,19.81,39.12,4.8,2.74,6.0,3.10,,,,,,,4.8,600.00,6.0,750.00,,,,,,,-,Dual Bearings,Metal,$33.00
Scanner RC,SSV-9784HMG*,Analog,53.01,40.64,19.81,40.64,4.8,11.38,6.0,13.47,,,,,,,4.8,375.00,6.0,461.54,,,,,,,-,-,Metal,-
Scanner RC,SSV-9844MG*,Digital,45.08,40.64,19.81,38.61,4.8,7.49,6.0,8.35,,,,,,,4.8,352.94,6.0,400.00,,,,,,,-,-,Metal,-
Scanner RC,SSV-9846MG*,Digital,45.08,40.64,19.81,38.61,4.8,5.04,6.0,6.05,,,,,,,4.8,400.00,6.0,461.54,,,,,,,-,-,Metal,-
Scanner RC,SSV-9864MG*,Digital,45.08,40.64,19.81,38.61,4.8,9.36,6.0,10.23,,,,,,,4.8,545.45,6.0,666.67,,,,,,,-,Dual Bearings,Metal,$31.69
Scanner RC,SSV-9960MG*,Analog,102.06,43.69,20.07,42.93,4.8,18.87,6.0,25.06,,,,,,,4.8,375.00,6.0,461.54,,,,,,,-,-,Metal,-
ServoKing,BLS-6803,Digital,64.92,37.08,20.07,39.88,6.0,16.20,7.4,20.70,8.4,24.30,,,,,6.0,666.67,7.4,750.00,8.4,857.14,,,,,Brushless,-,Metal,$109.99
ServoKing,BLS-6853,Digital,64.92,37.08,20.07,39.88,6.0,22.80,7.4,27.71,8.4,29.31,,,,,6.0,400.00,7.4,600.00,8.4,666.67,,,,,Brushless,-,Metal,$109.99
ServoKing,BLS-697i3,Digital,64.92,37.08,20.07,39.88,6.0,14.50,7.4,15.91,8.4,17.51,,,,,6.0,1200.00,7.4,1500.00,8.4,1500.00,,,,,Brushless,-,Metal,$114.99
SkyHolic,DGS-088*,Digital,125.02,58.93,28.96,52.07,4.8,12.00,6.0,20.00,7.4,25.00,,,,,4.8,400.00,6.0,500.00,7.4,600.00,,,,,Brushed,Dual Bearings,Metal,-
SkyHolic,DGS-1088,Digital,155.64,58.93,28.96,55.88,4.8,20.00,6.0,25.00,7.4,30.00,,,,,4.8,461.54,6.0,545.45,7.4,600.00,,,,,Brushed,Dual Bearings,Metal,-
SkyHolic,DGS-1188,Digital,51.03,39.88,20.07,38.10,4.8,10.00,7.4,12.00,,,,,,,4.8,400.00,6.0,545.45,,,,,,,Brushed,Dual Bearings,Metal,-
SkyHolic,DGS-1199,Digital,51.88,39.88,20.07,38.10,4.8,12.00,7.4,16.00,,,,,,,4.8,400.00,7.4,545.45,,,,,,,Brushed,Dual Bearings,Metal,-
SkyHolic,DGS-288,Digital,45.93,39.88,20.07,34.04,4.8,6.00,7.4,7.00,,,,,,,4.8,500.00,7.4,600.00,,,,,,,Brushed,Dual Bearings,Metal,-
SkyHolic,DGS-299,Digital,45.93,39.88,20.07,34.04,4.8,8.00,7.4,10.00,,,,,,,4.8,500.00,7.4,600.00,,,,,,,Brushed,Dual Bearings,Metal,-
Skyholic,DHV-2288,Digital,60.10,39.88,20.07,34.04,6.0,25.01,7.4,30.01,,,,,,,6.0,600.00,7.4,750.00,,,,,,,Coreless,Dual Bearings,Metal,-
Skyholic,DHV-2288TG,Digital,53.86,39.88,20.07,34.04,4.8,15.01,7.4,25.01,,,,,,,4.8,428.57,7.4,545.45,,,,,,,Coreless,Dual Bearings,Titanium,-
Skyholic,HDS-1500,Digital,1.70,17.02,6.10,16.00,2.8,0.07,,,,,,,,,2.8,1200.00,,,,,,,,,-,-,-,-
SkyHolic,HDS-2288,Digital,47.06,39.88,20.07,34.04,4.8,16.00,6.0,20.00,7.4,25.00,,,,,4.8,400.00,6.0,500.00,7.4,600.00,,,,,Coreless,Dual Bearings,Metal,-
SkyHolic,HDS-372*,Digital,30.05,37.08,18.03,29.97,4.8,3.20,,,,,,,,,4.8,500.00,,,,,,,,,-,Dual Bearings,Plastic,-
SkyHolic,HDS-377,Digital,39.41,37.08,18.03,29.97,4.8,4.50,6.0,4.80,,,,,,,4.8,500.00,6.0,600.00,,,,,,,Brushed,Dual Bearings,Metal,-
SkyHolic,HDS-477,Digital,32.60,30.99,14.99,30.48,4.8,4.00,6.0,4.50,,,,,,,4.8,500.00,6.0,600.00,,,,,,,Brushed,Single Bearing,Metal,-
SkyHolic,HDS-577,Digital,19.56,27.94,13.46,27.94,4.8,4.00,6.0,4.50,,,,,,,4.8,500.00,6.0,600.00,,,,,,,Brushed,Bushing,Metal,-
SkyHolic,HDS-877,Digital,11.06,21.84,10.92,19.81,4.8,2.20,6.0,2.50,,,,,,,4.8,545.45,6.0,666.67,,,,,,,Brushed,Bushing,Metal,-
Skyholic,HES-088,-,100.07,58.93,28.96,52.07,4.8,8.00,6.0,12.00,,,,,,,4.8,315.79,6.0,260.87,,,,,,,-,Dual Bearings,Plastic,-
Skyholic,HES-1000AP,-,2.27,16.26,8.38,20.32,4.8,4.80,,,,,,,,,4.8,666.67,,,,,,,,,-,-,-,-
Skyholic,HES-1088,-,161.88,58.93,28.96,55.88,4.8,25.01,,,,,,,,,4.8,400.00,,,,,,,,,-,Dual Bearings,Metal,-
Skyholic,HES-1188,-,53.01,40.89,20.07,40.89,4.8,5.00,,,,,,,,,4.8,272.73,,,,,,,,,-,-,-,-
Skyholic,HES-1188BFM,-,66.90,40.89,20.07,40.89,4.8,10.00,,,,,,,,,4.8,300.00,,,,,,,,,-,Dual Bearings,Metal,-
Skyholic,HES-188,-,53.01,40.89,20.07,40.89,4.8,3.50,,,,,,,,,4.8,260.87,,,,,,,,,-,Dual Bearings,Plastic,-
Skyholic,HES-288,-,41.96,40.89,20.07,35.05,4.8,2.50,,,,,,,,,4.8,272.73,,,,,,,,,-,-,-,-
Skyholic,HES-388,-,30.05,37.08,18.03,29.97,4.8,2.40,,,,,,,,,4.8,352.94,,,,,,,,,-,Dual Bearings,Plastic,-
Skyholic,HES-588,-,17.86,27.94,13.46,27.94,4.8,2.20,,,,,,,,,4.8,352.94,,,,,,,,,-,-,Plastic,-
SkyHolic,HES-888,Analog,9.92,21.84,10.92,19.81,4.8,1.20,6.0,1.50,,,,,,,4.8,545.45,6.0,666.67,,,,,,,-,-,Plastic,-
Skyholic,HES-988,-,3.40,19.30,8.13,19.30,4.8,0.50,,,,,,,,,4.8,545.45,,,,,,,,,-,-,Plastic,-
Skyholic,RB-1188,Digital,58.97,39.88,20.07,50.04,6.0,10.00,7.4,12.00,,,,,,,6.0,400.00,7.4,545.45,,,,,,,-,Dual Bearings,Metal,-
Spektrum,A2005,Analog,1.70,15.24,14.99,8.38,4.2,0.20,,,,,,,,,4.2,428.57,4.2,428.57,,,,,,,Brushed,Bushing,Nylon,$17.49
Spektrum,A201,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,$14.99
Spektrum,A202,Analog,37.14,38.61,18.80,34.54,4.8,3.50,6.0,4.80,,,,,,,4.8,352.94,6.0,428.57,4.8,352.94,6.0,428.57,,,-,Single Bearing,Nylon,$17.99
Spektrum,A2030,Analog,229.91,22.10,16.76,8.38,4.2,0.25,,,,,,,,,4.2,600.00,4.2,600.00,,,,,,,Brushed,Single Bearing,Nylon,$19.99
Spektrum,A2030L,Analog,2.55,22.10,16.76,8.38,4.2,0.25,,,,,,,,,4.2,600.00,4.2,600.00,,,,,,,Brushed,Single Bearing,Nylon,$19.99
Spektrum,A3010*,Digital,8.50,23.62,11.43,25.40,4.8,1.30,6.0,1.58,,,,,,,4.8,666.67,6.0,750.00,,,,,,,Coreless,Single Bearing,Plastic,$18.49
Spektrum,A3020*,Digital,12.47,23.62,11.43,25.40,4.8,1.30,6.0,1.58,,,,,,,4.8,666.67,6.0,750.00,,,,,,,Coreless,Single Bearing,Metal,$24.99
Spektrum,A3030*,Digital,8.50,23.62,11.43,25.40,4.8,1.66,6.0,2.02,,,,,,,4.8,500.00,6.0,600.00,,,,,,,Brushed,Single Bearing,Plastic,$18.49
Spektrum,A3040,Digital,12.47,23.62,11.43,25.40,4.8,1.66,6.0,2.02,,,,,,,4.8,500.00,6.0,600.00,,,,,,,Brushed,Single Bearing,Metal,$31.99
Spektrum,A330,-,,11.94,20.32,22.86,,,,,,,,,,,,,,,,,,,,,-,Bushing,Plastic,$9.99
Spektrum,A4040,Digital,26.08,27.94,13.72,31.24,6.0,6.05,7.4,6.55,8.4,6.91,,,,,6.0,375.00,7.4,500.00,8.4,600.00,6.0,375.00,7.4,500.00,-,Single Bearing,Metal,$54.99
Spektrum,A5070,Digital,39.97,33.53,14.99,29.46,6.0,10.54,8.4,13.72,,,,,,,6.0,666.67,8.4,750.00,6.0,666.67,8.4,750.00,,,Brushless,Dual Bearings,Metal,$149.99
Spektrum,A5080,Digital,34.02,35.56,14.99,29.97,6.0,7.92,7.4,8.50,8.4,9.36,,,,,6.0,428.57,7.4,545.45,8.4,666.67,6.0,428.57,7.4,545.45,Brushed,Single Bearing,Metal,$49.99
Spektrum,A6000*,Digital,41.96,40.64,20.32,38.10,6.0,6.48,,,,,,,,,6.0,428.57,,,,,,,,,Brushed,Dual Bearings,Plastic,$29.99
Spektrum,A6010*,Digital,49.04,40.64,20.32,38.10,6.0,7.20,,,,,,,,,6.0,428.57,,,,,,,,,Brushed,Dual Bearings,Metal,$39.99
Spektrum,A6020*,Digital,49.04,40.64,20.32,38.10,6.0,10.51,,,,,,,,,6.0,315.79,,,,,,,,,Brushed,Dual Bearings,Metal,$44.99
Spektrum,A6030*,Digital,52.45,40.64,20.32,38.10,6.0,20.02,,,,,,,,,6.0,400.00,,,,,,,,,Coreless,Dual Bearings,Titanium,$84.99
Spektrum,A6190,Digital,53.86,37.34,19.81,40.13,6.0,6.48,7.4,7.06,8.4,8.28,,,,,6.0,272.73,7.4,352.94,8.4,461.54,6.0,272.73,7.4,352.94,-,Dual Bearings,Metal,$27.99
Spektrum,A6300,Digital,79.66,39.88,20.07,37.85,6.0,27.25,7.4,33.63,8.4,38.18,,,,,6.0,428.57,7.4,545.45,8.4,600.00,6.0,428.57,7.4,545.45,Brushless,Dual Bearings,Metal,$179.99
Spektrum,A6310,Digital,70.87,37.85,20.07,39.88,6.0,13.85,7.4,21.75,8.4,25.20,,,,,6.0,500.00,7.4,545.45,8.4,600.00,6.0,500.00,7.4,545.45,Brushless,Dual Bearings,Metal,$139.99
Spektrum,A6320,Digital,62.09,39.88,20.07,37.85,6.0,10.80,7.4,18.02,8.4,19.45,,,,,6.0,545.45,7.4,600.00,8.4,600.00,6.0,545.45,7.4,600.00,Brushless,Dual Bearings,Metal,$99.99
Spektrum,A6330,Digital,70.87,40.13,20.07,39.62,6.0,9.12,7.4,12.82,8.4,17.86,,,,,6.0,461.54,7.4,545.45,8.4,600.00,6.0,461.54,7.4,545.45,Brushless,Dual Bearings,Metal,$79.99
Spektrum,A6350,Digital,85.05,40.89,21.08,40.89,6.0,41.48,7.4,52.21,8.4,61.35,,,,,6.0,400.00,7.4,500.00,8.4,600.00,6.0,400.00,7.4,500.00,Brushless,Dual Bearings,Metal,$229.99
Spektrum,A6380,Digital,42.52,38.61,18.80,37.34,6.0,7.34,8.4,11.52,,,,,,,6.0,352.94,8.4,461.54,6.0,352.94,8.4,461.54,,,-,Dual Bearings,Metal,$29.99
Spektrum,A6390,Analog,37.14,38.61,18.80,34.54,4.8,3.50,6.0,4.80,,,,,,,4.8,352.94,6.0,428.57,4.8,352.94,6.0,428.57,,,-,Single Bearing,Nylon,$19.99
Spektrum,A7090,Digital,49.90,40.64,20.57,25.15,6.0,14.76,7.4,15.48,8.4,18.00,,,,,6.0,352.94,7.4,666.67,8.4,857.14,6.0,352.94,7.4,666.67,Brushless,Dual Bearings,Metal,$69.99
Spektrum,A7100,Digital,28.07,29.97,9.91,35.05,6.0,6.91,7.4,7.20,8.4,8.28,,,,,6.0,666.67,7.4,666.67,8.4,750.00,6.0,666.67,7.4,666.67,-,Single Bearing,Metal,$99.99
Spektrum,DSP60*,Digital,5.95,22.86,9.91,18.80,4.8,0.95,,,,,,,,,4.8,666.67,,,,,,,,,Coreless,Bushing,Plastic,$16.99
Spektrum,DSP60J*,Digital,5.95,22.86,9.91,18.80,4.8,0.95,,,,,,,,,4.8,666.67,,,,,,,,,Coreless,Bushing,Plastic,$16.99
Spektrum,DSP75*,Digital,7.37,22.86,11.43,23.88,4.8,1.37,,,,,,,,,4.8,545.45,,,,,,,,,Coreless,Bushing,Plastic,$15.99
Spektrum,H2029L,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,$13.99
Spektrum,H2030L,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,$13.99
